,bbc-news,cnn,fox-news,die-zeit,google-news-fr,google-news-it,xinhua-net
2020-03-20,123,187,222,30,62,62,0
2020-03-21,87,77,89,18,23,23,0
2020-03-22,67,81,96,24,30,30,0
2020-03-23,126,143,215,32,64,64,0
2020-03-24,125,170,271,33,50,50,0
2020-03-25,129,176,276,36,50,50,0
2020-03-26,139,172,268,43,46,46,0
2020-03-27,119,178,238,24,42,42,0
2020-03-28,71,76,106,12,24,24,0
2020-03-29,79,64,111,18,14,14,0
2020-03-30,122,141,217,26,47,47,0
2020-03-31,127,156,268,24,37,37,0
2020-04-01,116,160,286,17,51,51,0
2020-04-02,132,161,260,13,28,28,0
2020-04-03,132,192,249,15,43,43,1
2020-04-04,65,84,90,7,12,12,0
2020-04-05,81,80,99,7,14,14,1
2020-04-06,113,151,213,12,38,38,0
2020-04-07,139,172,227,10,37,37,1
2020-04-08,115,166,152,11,43,43,0
2020-04-09,136,158,253,16,24,24,1
2020-04-10,99,145,228,7,19,19,1
2020-04-11,76,57,91,2,13,13,0
2020-04-12,77,60,98,5,17,17,0
2020-04-13,105,116,177,2,24,24,0
2020-04-14,125,145,240,10,34,34,0
2020-04-15,109,153,235,3,39,39,0
2020-04-16,131,159,229,6,30,30,0
2020-04-17,136,141,221,5,48,48,0
2020-04-18,62,65,69,3,26,26,0
2020-04-19,56,58,86,1,6,6,0
